generation,fittest,average,unfittest
1,32,24,17
2,33,24,17
3,33,25,18
4,34,25,18
5,34,26,18
6,34,26,20
7,35,27,20
8,35,28,21
9,35,28,22
10,36,28,22
11,36,28,22
12,36,29,22
13,37,30,23
14,37,30,24
15,38,31,24
16,38,31,25
17,38,31,25
18,38,31,25
19,39,32,26
20,39,32,26
21,39,32,27
22,39,32,27
23,39,33,27
24,39,33,27
25,39,33,27
26,40,33,27
27,40,33,27
28,40,33,27
29,40,33,27
30,40,33,27
31,41,33,28
32,41,33,28
33,41,33,27
34,41,34,28
35,41,34,29
36,41,34,28
37,41,34,28
38,41,35,28
39,42,35,29
40,42,36,29
41,42,36,30
42,42,36,30
43,42,36,30
44,42,36,30
45,42,36,30
46,43,36,30
47,43,36,30
48,43,36,31
49,43,36,30
50,43,36,30
