generation,fittest,average,unfittest
1,33,24,17
2,33,26,18
3,35,28,22
4,35,30,24
5,36,31,26
6,37,32,28
7,38,33,29
8,39,34,30
9,40,35,31
10,40,36,32
11,41,36,33
12,41,37,34
13,42,38,34
14,42,39,35
15,43,39,36
16,43,40,37
17,44,40,38
18,44,41,38
19,44,41,38
20,45,42,39
21,45,42,39
22,46,43,40
23,46,43,40
24,46,43,41
25,46,44,41
26,47,44,41
27,47,44,42
28,47,44,42
29,48,45,42
30,48,45,42
31,48,46,43
32,48,46,43
33,48,46,43
34,49,46,44
35,49,46,44
36,49,46,44
37,49,47,44
38,49,47,44
39,49,47,45
40,49,47,45
41,49,47,45
42,50,48,46
43,50,48,45
44,50,48,45
45,50,48,46
46,50,48,46
47,50,48,46
48,50,48,46
49,50,48,46
50,50,48,46
