generation,fittest,average,unfittest
1,17,10,3
2,18,10,4
3,18,11,6
4,19,12,6
5,19,13,7
6,20,13,7
7,20,14,8
8,20,15,9
9,21,15,9
10,21,15,10
11,22,16,10
12,22,16,11
13,23,16,11
14,23,17,11
15,23,17,12
16,24,17,11
17,24,18,12
18,24,18,13
19,24,18,12
20,25,19,13
21,25,19,13
22,25,19,14
23,25,20,14
24,26,20,15
25,26,20,15
26,26,20,15
27,26,21,16
28,26,21,16
29,26,21,16
30,27,22,16
31,27,22,17
32,27,22,17
33,27,22,18
34,27,23,18
35,27,23,18
36,27,23,18
37,27,23,19
38,28,24,19
39,28,24,19
40,28,24,19
41,28,24,19
42,28,24,20
43,28,25,20
44,29,25,20
45,29,25,21
46,29,25,21
47,29,25,21
48,29,26,21
49,29,26,21
50,29,26,21
