generation,fittest,average,unfittest
1,16,7,2
2,17,8,3
3,17,10,4
4,17,11,4
5,18,12,5
6,18,13,6
7,18,14,6
8,18,14,7
9,18,15,8
10,18,15,7
11,18,15,8
12,18,15,9
13,18,16,8
14,18,16,9
15,18,16,10
16,18,16,9
17,18,16,10
18,18,16,10
19,18,16,10
20,18,16,10
21,18,16,9
22,18,16,11
23,18,16,11
24,18,16,11
25,18,17,12
26,18,17,11
27,18,17,12
28,18,17,11
29,18,17,12
30,18,17,13
31,18,17,12
32,18,17,11
33,18,17,12
34,18,17,12
35,18,17,11
36,18,17,12
37,18,17,13
38,18,17,11
39,18,17,12
40,18,17,13
41,18,17,13
42,19,17,11
43,19,17,12
44,18,17,13
45,18,17,13
46,18,17,13
47,18,17,12
48,19,17,13
49,19,17,12
50,19,17,12
